readid|title|author|published|format|keywords|read
aa001|Endure: Mind, Body, and the Curiously Elastic Limits of Human Performance|Alex Hutchinson|2018|Kindle|running endurance sports psychology fitness biology|2021-01-01
aa002|What I talk about when I talk about running|Haruki Murakami|2009|Kindle|running short stories|2021-01-14
aa003|The Three-Body Problem|Cixin Liu|2014|Kindle|science fiction scifi physics fiction china|2021-01-20
aa004|Outgrowing God|Richard Dawkins|2019|NLB Libby|religion christianity atheism|2021-03-01
aa005|The Four Horsemen|Christopher Hitchens, Richard Dawkins, Sam Harris, Daniel C. Dennet|2007|NLB Libby|religion philosophy atheism|2021-03-11
aa006|Anatomy for Runners|Jay Dicharry|2012|NLB Libby|anatomy running sports fitness|2021-03-22
aa007|The God Delusion|Richard Dawkins|2006|NLB Libby|religion christianity islam atheism|2021-03-30
aa008|The Closing of the Western Mind: The Rise of Faith and the Fall of Reason|Charles Freeman|2003|NLB Libby|history religion christianity|2021-04-19
aa009|The Coddling of the American Mind|Greg Lukianoff, Jonathan Haidt|2018|NLB Libby|psychology education parenting culture|2021-05-06
aa010|The Body|Bill Bryson|2019|NLB Libby|anatomy biology|2021-05-27
aa011|The Brain|David Eagleman|2017|NLB Libby|neuroscience biology|2021-06-27
aa012|Born to Run|Christopher McDougall|2009|NLB Libby|running tarahumara ultramarathon endurance|2021-07-26
aa013|The Cool Impossible|Eric Orton|2014|NLB Libby|running ultramarathon endurance|2021-08-08
aa014|Mike and Psmith|P.G. Wodehouse|1953|Library|comic fiction|2021-10-26
aa015|Eat & Run|Scott Jurek|2013|paperback|running nutrition ultramarathon|2021-11-20
aa016|The Moral Landscape|Sam Harris|2011|NLB Libby|ethics philosophy religion|2021-11-21
aa017|Nine Nasty Words|John McWhorter|2021|NLB Libby|linguistics|2022-02-11
aa018|The Greatest Show on Earth|Richard Dawkins|2009|NLB Libby|evolutionary biology science|2022-03-01
aa019|The Secular Enlightenment|Margaret C. Jacob|2019|NLB Libby|enlightenment history|2022-03-17
aa020|The Odyssey|Homer, tr. Emily Wilson|2018|paperback|greek mythology epic poetry|2022-03-17
aa021|The Big Picture|Sean Carroll|2017|NLB Libby|physics science cosmology|2022-04-03
aa022|Free Will|Sam Harris|2012|NLB Libby|philosophy free will neuroscience|2022-04-04
aa023|Waiting for the Barbarians|J. M. Coetzee|1980|paperback|fiction south africa colonialism|2022-04-07
aa024|The Third Chimpanzee|Jared Diamond|1991|NLB Libby|anthropology culture|2022-04-13
aa025|Rationality|Steven Pinker|2021|hardcover|reason statistics psychology|2022-04-19
aa026|Enlightenment Now|Steven Pinker|2018|paperback|history science psychology|2022-04-24
aa027|The Constitution of Knowledge|Jonathan Rauch|2021|NLB Libby|culture philosophy|2022-04-26
aa028|On Color|David Scott Kastan| 2018|NLB Libby|color|2022-04-29
aa029|The Beginning of Infinity|David Deutsch|2011|Kindle|physics science philosophy artificial intelligence cosmology|2022-05-09
aa030|Incognito: The Secret Lives of the Brain|David Eagleman|2011|NLB Libby|neuroscience cognitive psychology biology|2022-05-18
aa031|Hitch-22|Christopher Hitchens|2011|NLB Libby|autobiography|2022-05-30
aa032|Just Six Numbers|Martin Rees|2001|NLB Libby|physics science cosmology astrophysics cosmology|2022-06-04
aa033|The Grand Design|Stephen Hawking|2010|NLB Libby|physics cosmology astrophysics|2022-06-26
aa034|If Then|Jill Lepore|2020|paperback|data computing analytics|2022-07-07
aa035|Klara and the Sun|Kazuo Ishiguro|2021|paperback|artificial intelligence fiction science fiction|2022-07-17
aa036|Time’s Arrow|Martin Amis|1991|paperback|fiction time nazism holocaust historical fiction|2022-07-21
aa037|Factfulness|Hans Rosling|2018|paperback|reason statistics|2022-07-23
aa038|The Elegant Universe|Brian Greene|1999|NLB Libby|theoretical physics string theory science cosmology|2022-07-24
aa039|Blood Meridian|Cormac McCarthy|1985|hardcover|fiction western|2022-07-25
aa040|Indelible City|Louisa Lim|2022|paperback|hong kong history|2022-07-30
aa041|Why Evolution Is True|Jerry Coyne|2010|paperback|evolutionary biology|2022-08-01
aa042|The Selfish Gene 2016 (40th Anniversary Ed.)|Richard Dawkins|1979|paperback|evolutionary biology genetics|2022-08-07
aa043|Seize The Day|Saul Bellow| 1956|paperback|fiction|2022-08-08
aa044|God Is Not Great|Christopher Hitchens|2007|paperback|religion christianity atheism|2022-08-12
aa045|The Rational Optimist|Matt Ridley|2010|NLB Libby|reason economics|2022-08-14
aa046|Pnin|Vladimir Nabokov|1957|paperback|fiction|2022-08-14
aa047|Homo Deus|Yuval Noah Hariri|2016|NLB Libby|artificial intelligence agi|2022-08-30
aa048|Life 3.0|Mark Tegmark|2018|NLB Libby|artificial intelligence agi|2022-09-06
aa049|The Cement Garden|Ian McEwan|1978|paperback|fiction|2022-09-11
aa050|Artificial Intelligence: A Guide for Thinking Humans|Melanie Mitchell|2019|NLB Libby|artificial intelligence|2022-09-14
aa051|The War On The West|Douglas Murray|2022|hardcover|culture|2022-09-17
aa052|Kinds of Minds|Daniel C. Dennett|2019|NLB Libby|consciousness philosophy|2022-09-20
aa053|The River of Consciousness|Oliver Sacks|2017|NLB Libby|consciousness neuroscience|2022-09-22
aa054|The Strange Order of Things|Antonio Damasio|2018|NLB Libby|neuroscience time|2022-09-27
aa055|Superintelligence|Nick Bostrom|2014|paperback|artificial intelligence agi|2022-10-01
aa056|Unveiled|Yasmine Mohammed|2019|Kindle|islam religion|2022-10-03
aa057|The End of Faith|Sam Harris|2004|NLB Libby|religion islam christianity atheism|2022-10-12
aa058|Shame|Salman Rushdie|1983|paperback|fiction|2022-11-04
aa059|Conscious|Annaka Harris|2019|Libby|consciousness philosophy neuroscience|2022-11-06
aa060|Lying|Sam Harris|2013|Libby|philosophy ethics|2022-11-27
aa061|Endurance: Shackleton's Incredible Voyage|Alfred Lansing|1999|NLB Libby|biography explorer|2022-12-01
aa062|The War Poets|Robert Giddings|1988|hardcover|poetry world war i wwi|2022-12-16
